"","age","cups","where_drink","purchase_other","favourite","favorite_specify","additions","additions_other","sweetener","style","strength","roast_level","caffeine","expertise","coffee_a_bitterness","coffee_a_acidity","coffee_a_personal_preference","coffee_b_bitterness","coffee_b_acidity","coffee_b_personal_preference","coffee_c_bitterness","coffee_c_acidity","coffee_c_personal_preference","coffee_d_bitterness","coffee_d_acidity","coffee_d_personal_preference","prefer_abc","prefer_ad","prefer_overall","wfh","total_spend","know_source","most_paid","most_willing","value_cafe","spent_equipment","value_equipment","gender","education_level","employment_status","number_children","political_affiliation"
"365","25-34 years old","2","At home, At a cafe",NA,"Pourover",NA,"No - just black",NA,NA,"Floral","Medium","Light","Full caffeine",7,1,3,4,4,2,2,3,2,5,2,4,3,"Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","Yes","$6-$8","$10-$15","Yes","More than $1,000","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"366","55-64 years old","3","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",7,1,4,2,2,2,4,3,3,3,2,3,4,"Coffee B","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$4-$6","$4-$6","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","2","Republican"
"367","25-34 years old","2","At home",NA,"Cold brew",NA,"No - just black",NA,NA,"Nutty","Medium","Medium","Full caffeine",6,1,5,2,4,1,3,2,3,4,2,4,4,"Coffee C","Coffee D","Coffee B","I primarily work from home","$60-$80","Yes","$8-$10","$6-$8","No","More than $1,000","Yes","Prefer not to say",NA,NA,NA,NA
"368","35-44 years old","3","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",2,1,4,4,3,2,3,2,1,3,3,5,1,"Coffee B","Coffee A","Coffee B","I primarily work in person","$40-$60","Yes","$10-$15","$8-$10","No","$300-$500","Yes","Male","Some college or associate's degree","Employed full-time","2","Democrat"
"369","35-44 years old","2","At home, At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Agave Nectar","Fruity","Somewhat strong","Light","Full caffeine",8,2,5,3,4,1,3,2,2,4,2,4,5,"Coffee C","Coffee D","Coffee A","I do a mix of both","$40-$60","Yes","$8-$10","$6-$8","No","More than $1,000","No","Female","Bachelor's degree","Employed full-time","None","Democrat"
"370","35-44 years old","2","At home, On the go, At a cafe",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Caramalized","Somewhat strong","Dark","Full caffeine",5,1,4,3,5,2,4,3,2,5,2,4,2,"Coffee C","Coffee A","Coffee C","I primarily work from home",">$100","No","$10-$15","More than $20","Yes","$100-$300","Yes","Non-binary","Bachelor's degree","Employed full-time","None","Democrat"
"371","45-54 years old","1","At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Caramalized","Medium","Medium","Full caffeine",5,1,1,5,2,2,4,2,3,3,1,4,1,"Coffee A","Coffee A","Coffee A","I primarily work in person","<$20","Yes","$4-$6","$6-$8","No","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"372","25-34 years old","1","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Medium","Medium","Full caffeine",3,2,5,2,4,2,4,3,3,4,1,4,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","No","$8-$10","$10-$15",NA,NA,NA,"Female","Bachelor's degree","Employed full-time","None","Democrat"
"373","25-34 years old","1","At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Caramalized","Very strong","Medium","Full caffeine",7,2,4,3,3,3,5,4,4,3,3,5,2,"Coffee B","Coffee A","Coffee B","I primarily work in person","$20-$40","Yes","$8-$10","$10-$15","No","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"374","25-34 years old","1","At home",NA,"Cortado",NA,"No - just black",NA,NA,"Full Bodied","Very strong","Blonde","Full caffeine",5,3,3,4,5,1,1,4,2,4,1,4,5,"Coffee C","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$8-$10","$8-$10","Yes","$50-$100","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"375","35-44 years old","2","At home",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Honey","Nutty","Somewhat strong","Dark","Full caffeine",6,2,1,4,3,3,2,4,2,4,4,2,4,"Coffee C","Coffee D","Coffee C","I primarily work from home","$40-$60","Yes","$4-$6","$4-$6","No","$500-$1000","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"376","25-34 years old","3","At home, At a cafe, At the office",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Floral","Somewhat strong","Medium","Full caffeine",8,4,5,4,1,3,3,1,2,2,4,4,4,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$4-$6","$6-$8","No","$100-$300","Yes","Male","Master's degree","Employed full-time","1","Republican"
"377","35-44 years old","1","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Sweet","Medium","Medium","Full caffeine",4,3,2,4,2,1,3,4,1,3,3,2,4,"Coffee A","Coffee A","Coffee A","I primarily work from home","$20-$40","Yes","$4-$6","$4-$6","No","$500-$1000","Yes","Male","Bachelor's degree","Unemployed","2","Democrat"
"378","25-34 years old","2","At home, At a cafe",NA,"Americano",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Medium","Half caff",8,4,3,3,2,3,4,3,3,5,3,4,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","Yes","$8-$10","$10-$15","Yes","$500-$1000","No","Male","Master's degree","Employed full-time","None","Independent"
"379","25-34 years old","2","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Medium","Nordic","Full caffeine",7,4,4,4,2,3,2,3,5,5,3,2,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$60-$80","Yes","$15-$20","More than $20","Yes","More than $1,000","Yes","Male","Master's degree","Employed full-time","None","No affiliation"
"380","55-64 years old","4","At home",NA,"Cortado",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Medium","Medium","Full caffeine",7,3,3,4,4,1,3,1,2,3,2,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$60-$80","Yes","$6-$8","$15-$20","No","More than $1,000","Yes","Male","Some college or associate's degree","Retired","1","Democrat"
"381","25-34 years old","2","At home, At the office, On the go, At a cafe",NA,"Pourover",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",7,2,5,4,5,2,1,2,4,3,3,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","<$20","Yes","$6-$8","$6-$8","No","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"382","45-54 years old","2","At home",NA,"Americano",NA,"No - just black",NA,NA,"Bold","Medium","Medium","Full caffeine",5,1,4,3,2,2,5,4,4,2,4,4,1,"Coffee B","Coffee A","Coffee B","I primarily work in person",">$100","Yes","$6-$8","$6-$8","Yes","More than $1,000","Yes","Female","Some college or associate's degree","Employed full-time","None","No affiliation"
"383","55-64 years old","2","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",4,1,4,5,3,3,3,2,3,2,1,4,4,"Coffee A","Coffee A","Coffee A","I do a mix of both","<$20","No","$4-$6","$4-$6","No","$20-$50","No","Male","Bachelor's degree","Employed full-time","More than 3",NA
"384","55-64 years old","2","At home, At a cafe",NA,"Pourover",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Full Bodied","Somewhat strong","Medium","Full caffeine",2,1,4,1,2,3,5,4,2,5,4,3,2,"Coffee B","Coffee D","Coffee B","I primarily work from home","$60-$80","No","$4-$6","$4-$6","Yes","$100-$300","Yes","Female","Master's degree","Employed part-time","2",NA
"385","25-34 years old","2","On the go, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,NA,"Caramalized","Somewhat strong","Medium","Full caffeine",5,4,3,2,3,3,3,3,4,4,4,2,4,"Coffee C","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$10-$15","More than $20","Yes","$500-$1000","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"386","35-44 years old","1","At home, On the go",NA,"Pourover",NA,"No - just black",NA,NA,"Juicy","Somewhat strong","Light","Full caffeine",8,3,3,4,3,1,3,4,3,2,3,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","More than $20","More than $20","Yes","$300-$500","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"387","35-44 years old","1","At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar","Nutty","Somewhat strong","Medium","Full caffeine",7,2,4,4,2,2,4,3,3,5,3,5,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$40-$60","Yes","$8-$10","More than $20","No","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","No affiliation"
"388","35-44 years old","1","At home, At the office",NA,"Mocha",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Honey, Granulated Sugar, Raw Sugar (Turbinado)","Chocolatey","Somewhat strong","Dark","Full caffeine",5,3,3,3,4,2,2,4,3,2,2,4,2,"Coffee A","Coffee A","Coffee A","I primarily work in person","$20-$40","Yes","$6-$8","$6-$8","Yes","$300-$500","Yes","Male","Some college or associate's degree","Employed full-time","None","No affiliation"
"389","25-34 years old","1","At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,NA,"Chocolatey","Somewhat strong","Dark","Full caffeine",6,4,3,2,3,3,3,2,1,5,3,4,2,"Coffee C","Coffee A","Coffee C","I primarily work from home","$40-$60","Yes","$8-$10","$8-$10","Yes","More than $1,000","Yes","Female","Bachelor's degree","Employed full-time","None","No affiliation"
"390","25-34 years old","2","At home, At a cafe, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Medium","Full caffeine",9,1,4,3,4,1,1,4,2,2,1,3,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$15-$20","$15-$20","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","1","No affiliation"
"391","25-34 years old","2","At the office, At home",NA,"Pourover",NA,"No - just black",NA,NA,"Chocolatey","Medium","Medium","Full caffeine",6,2,3,3,4,2,2,3,4,4,3,4,4,"Coffee C","Coffee D","Coffee D","I do a mix of both","$20-$40","No","$10-$15","$10-$15","Yes","$500-$1000","Yes","Male","Doctorate or professional degree","Employed full-time","None","Independent"
"392","18-24 years old","1","At home",NA,"Cortado",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",6,1,4,4,3,3,4,4,2,2,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$8-$10","$10-$15","No","$300-$500","Yes","Male","Some college or associate's degree","Employed full-time","None","Independent"
"393","45-54 years old","1","At home, At a cafe, On the go, At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup, No - just black",NA,NA,"Full Bodied","Somewhat strong","Light","Decaf",8,3,4,4,4,2,2,3,3,4,3,3,2,"Coffee A","Coffee A","Coffee D","I primarily work in person","$40-$60","Yes","$8-$10","More than $20","No","$300-$500","Yes","Male","Bachelor's degree","Employed part-time","None","Independent"
"394","25-34 years old","3","At home, At the office, At a cafe, On the go",NA,"Pourover",NA,"No - just black",NA,NA,"Bold","Very strong","Medium","Full caffeine",6,3,5,4,2,1,5,3,3,3,4,4,5,"Coffee B","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$10-$15","More than $20","Yes","$100-$300","Yes","Male","Master's degree","Employed full-time","None","No affiliation"
"395","35-44 years old","1","At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",7,2,4,1,4,1,1,3,1,4,1,5,2,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","Yes","$4-$6","$4-$6","No","$300-$500","Yes","Male","Doctorate or professional degree","Employed part-time","2","Democrat"
"396","35-44 years old","3","At the office, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bold","Somewhat strong","Dark","Full caffeine",4,2,4,2,3,3,5,4,2,4,2,5,3,"Coffee B","Coffee D","Coffee B","I primarily work in person","$80-$100","Yes","$10-$15","More than $20","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","2","Democrat"
"397","18-24 years old","2","At a cafe, At the office, On the go",NA,"Cold brew",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Medium","Medium","Full caffeine",8,3,4,2,3,3,4,2,2,5,3,2,4,"Coffee C","Coffee D","Coffee C","I do a mix of both","$80-$100","No","$6-$8","$8-$10","Yes","$100-$300","Yes","Male",NA,NA,NA,NA
"398","18-24 years old","2","At home",NA,"Americano",NA,"No - just black",NA,NA,"Caramalized","Very strong","Light","Full caffeine",10,5,5,2,1,1,1,1,1,2,3,5,3,"Coffee A","Coffee D","Coffee D","I primarily work from home","<$20","No","$6-$8","$4-$6","Yes","$100-$300","Yes","Female","Bachelor's degree","Employed full-time","None","No affiliation"
"399","35-44 years old","2","At home, At a cafe",NA,"Pourover",NA,"No - just black",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",8,1,2,4,1,2,2,2,1,3,2,2,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$60-$80","Yes","$15-$20","More than $20","Yes","More than $1,000","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"400","18-24 years old","2","At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer, Flavor syrup",NA,NA,"Sweet","Somewhat strong","Medium","Full caffeine",7,2,3,2,3,2,4,3,2,5,3,4,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","$20-$40","Yes","$6-$8","$6-$8","No","$300-$500","Yes","Female","Bachelor's degree","Student","None","Democrat"
"401","25-34 years old","Less than 1","At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Sweet","Somewhat light","Light","Decaf",3,2,4,2,4,2,3,2,3,4,4,3,4,"Coffee C","Coffee D","Coffee C","I primarily work in person","<$20","No","$8-$10","$8-$10","No","Less than $20","No","Female","Bachelor's degree","Employed full-time","None","Independent"
"402","25-34 years old","2","At the office, At home",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Dark","Full caffeine",2,3,2,5,2,3,3,2,3,3,2,5,1,"Coffee A","Coffee A","Coffee A","I primarily work in person","$20-$40","Yes","$10-$15","$10-$15","Yes","$50-$100","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"403","18-24 years old","2","On the go, At a cafe",NA,"Espresso",NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,NA,"Bright","Somewhat light","Light","Full caffeine",4,2,2,4,3,4,2,4,3,3,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$8-$10","$10-$15","Yes","$100-$300","Yes","Male","Some college or associate's degree","Student","None","Democrat"
"404","25-34 years old","Less than 1","At a cafe",NA,"Iced coffee",NA,"Sugar or sweetener, Flavor syrup",NA,"Granulated Sugar","Sweet","Weak","Blonde","Decaf",1,2,3,4,2,3,2,3,2,5,5,5,1,"Coffee C","Coffee A","Coffee C","I primarily work from home","<$20","No","$8-$10","$10-$15","Yes","Less than $20","No","Female","Bachelor's degree","Employed full-time","1","Democrat"
"405","35-44 years old","2","At home, At the office",NA,"Iced coffee",NA,"No - just black",NA,NA,"Full Bodied","Medium","Medium","Half caff",5,2,4,3,4,2,3,5,2,3,3,3,4,"Coffee B","Coffee D","Coffee B","I primarily work in person","$60-$80","No","$8-$10","$10-$15","No","More than $1,000","No","Male","Doctorate or professional degree","Employed full-time","2","Independent"
"406","25-34 years old","1","On the go, At home, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",NA,"Granulated Sugar","Chocolatey","Somewhat strong","Medium","Full caffeine",7,1,4,2,3,3,4,2,3,3,1,5,1,"Coffee B","Coffee A","Coffee B","I primarily work in person",">$100","Yes","$8-$10","$10-$15","Yes","More than $1,000","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"407","25-34 years old","1","At home",NA,"Latte",NA,"No - just black",NA,NA,"Chocolatey","Medium","Light","Full caffeine",3,4,5,3,2,4,1,3,4,3,2,5,4,"Coffee C","Coffee D","Coffee D","I primarily work from home","$20-$40","Yes","$6-$8","More than $20","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","None","Democrat"
"408","25-34 years old","2","At home",NA,"Espresso",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",7,2,4,4,3,3,3,4,3,2,1,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home",">$100","Yes","$6-$8","$10-$15","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"409","25-34 years old","2","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Bright","Medium","Light","Full caffeine",5,3,4,5,3,3,2,2,3,4,2,5,3,"Coffee A","Coffee A","Coffee A","I primarily work from home",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","25-34 years old","1","At a cafe, At the office, At home, On the go",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Bright","Medium","Medium","Full caffeine",6,2,5,5,4,3,4,4,3,5,2,4,3,"Coffee C","Coffee A","Coffee C","I primarily work in person","$60-$80","Yes","$10-$15","$4-$6","Yes","$300-$500","Yes","Female","Bachelor's degree","Employed full-time","None","Democrat"
"411","25-34 years old","2","At home, At the office",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Fruity","Medium","Light","Full caffeine",5,1,4,4,2,2,5,1,3,3,1,5,5,"Coffee B","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$10-$15","More than $20","No","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"412","25-34 years old","2","At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Bright","Medium","Light","Full caffeine",6,2,4,4,3,3,3,2,3,4,2,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$10-$15","More than $20","Yes","$20-$50","No","Female","Master's degree","Unemployed","None","Democrat"
"413","25-34 years old","1","At home, At a cafe",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Medium","Full caffeine",4,3,4,2,2,4,3,2,3,5,1,5,3,"Coffee C","Coffee D","Coffee C","I primarily work from home","<$20","Yes","$10-$15","$10-$15","Yes","$500-$1000","Yes","Female","Bachelor's degree","Employed full-time","None","No affiliation"
"414","25-34 years old","2","At home, At a cafe, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Bold","Somewhat strong","Medium","Full caffeine",7,1,3,2,4,1,3,2,2,3,1,4,4,"Coffee B","Coffee D","Coffee D","I primarily work from home","$60-$80","Yes","$8-$10","$10-$15","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
